"cell_type"	"microenviroment"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"Treg pri"	"pri"
"Treg pri"	"pri"
"Treg pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_Naive pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_Naive pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"gdT pri"	"pri"
"MAIT pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"gdT pri"	"pri"
"CD8_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"Treg LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"gdT LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_TEMRA LN"	"LN"
"Treg LN"	"LN"
"Treg LN"	"LN"
"Treg LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_EM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"MAIT pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"Treg LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD8_CM LN"	"LN"
"Treg LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_EM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_EM LN"	"LN"
"Treg LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD8_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"gdT LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"MAIT pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_CM pri"	"pri"
"Treg pri"	"pri"
"Treg pri"	"pri"
"Treg pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"Treg pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_Naive pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"gdT pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"gdT pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_Naive pri"	"pri"
"Treg pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"MAIT pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_CM pri"	"pri"
"gdT pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_Naive pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"gdT pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_Naive pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_Naive pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_Naive pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_Naive pri"	"pri"
"CAF LN"	"LN"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF LN"	"LN"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF LN"	"LN"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
"CAF pri"	"pri"
