gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Basophils LN	Basophils pri	CAF LN	CAF pri	CD8+ NKT-like LN	CD8+ NKT-like pri	Effector CD8+ T LN	Effector CD8+ T pri	Luminal LN	Luminal pri	Macrophages LN	Macrophages pri	Myeloid Dendritic LN	Myo LN	Myo pri	Naive B LN	Naive B pri	Naive CD4+ T LN	Naive CD4+ T pri	Neutrophils LN	Neutrophils pri	Plasma B LN	Plasma B pri	Plasmacytoid Dendritic LN	Plasmacytoid Dendritic pri
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	0.0	6.197	0.0	0.09	0.116	0.105	0.0	0.08	0.437	0.16	2.155	3.253	0.0	0.539	0.227	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	0.0	6.197	0.0	0.09	0.116	0.105	0.0	0.08	0.437	0.16	2.155	3.253	0.0	0.539	0.227	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	6.197	0.0	0.031	0.0	0.105	0.0	0.08	0.0	0.038	2.155	3.253	0.0	0.0	0.017	0.111	0.0	0.049	0.233	0.0	0.0	0.0	0.395	0.743	1.559
